Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
241.21,396.1,-0.42,-105.5,-1.49,503,1.51,1018.4,321.7,3,Over Current
242.19,493.5,0.08,68.2,-1.83,426.5,1.17,1014.5,320.5,3,Over Current
243.16,543.9,0.61,232.8,-1.93,310,0.85,1019.7,321.6,3,Over Current
244.14,523.9,1.23,358.7,-1.74,165.7,0.49,1017.1,320.2,3,Over Current
245.12,457.8,1.66,453.4,-1.44,6.5,0.04,1024.8,323.9,3,Over Current
246.09,365.7,1.84,537.7,-1.11,-164.3,-0.54,1020.9,321.9,3,Over Current
247.07,231.3,1.97,538.1,-0.65,-300.9,-0.95,1022.2,322.4,3,Over Current
248.05,82.6,1.61,501.2,-0.26,-408.7,-1.52,1020.9,322,3,Over Current
249.02,-95.7,1.27,409.6,0.25,-497.4,-1.78,1020.9,322.2,3,Over Current
250,-259.6,0.92,278.4,0.76,-532.2,-1.83,1020.9,321.9,3,Over Current
250.98,-374.8,0.53,140.7,1.39,-511.3,-1.56,1022.2,322.3,3,Over Current
251.95,-471.3,0.05,-30.4,1.77,-440.4,-1.24,1022.2,322.1,3,Over Current
252.93,-547.8,-0.49,-206.3,1.93,-338.7,-0.91,1023.5,323.2,3,Over Current
253.91,-531.7,-1.06,-333.6,1.8,-196.5,-0.56,1020.9,322.2,3,Over Current
254.88,-475.7,-1.59,-430.4,1.5,-37,-0.12,1022.2,322.4,3,Over Current
255.86,-385.7,-1.82,-520.7,1.17,137.4,0.41,1023.5,323.3,3,Over Current
256.84,-270,-2,-552.4,0.75,287.4,0.85,1022.2,322.8,3,Over Current
257.81,-112.2,-1.67,-508.1,0.36,395.2,1.46,1022.2,322.3,3,Over Current
258.79,58.3,-1.35,-429.1,-0.15,487.4,1.73,1027.3,324.1,3,Over Current
259.77,231.3,-0.99,-308.8,-0.67,541.7,1.84,1022.2,322.4,3,Over Current
260.74,348.7,-0.59,-178.5,-1.24,525.2,1.67,1019.7,321.8,3,Over Current
261.72,451.3,-0.15,-9.6,-1.73,463.9,1.32,1024.8,323.3,3,Over Current
262.7,536.5,0.38,169.4,-1.91,370.9,0.96,1020.9,321.1,3,Over Current
263.67,535.7,0.96,304.5,-1.86,232.6,0.67,1026,323.3,3,Over Current
264.65,493.9,1.5,411.7,-1.58,82.2,0.23,1026,323.2,3,Over Current
265.63,407,1.77,504.2,-1.27,-92.6,-0.32,1024.8,322.9,3,Over Current
266.6,299.6,1.97,557.7,-0.85,-255.7,-0.75,1026,323,3,Over Current
267.58,139.1,1.73,515.5,-0.45,-367.8,-1.36,1024.8,322.9,3,Over Current
268.56,-19.1,1.43,447.3,0.02,-457.8,-1.71,1023.5,322.5,3,Over Current
269.53,-199.6,1.1,343.1,0.61,-537,-1.82,1023.5,322.2,3,Over Current
270.51,-325.2,0.68,207.6,1.12,-528.3,-1.74,1024.8,322.8,3,Over Current
271.48,-428.3,0.23,50.4,1.64,-475.2,-1.41,1022.2,322,3,Over Current
272.46,-524.3,-0.24,-134.6,1.91,-382.2,-1.03,1019.7,321,3,Over Current
273.44,-537,-0.82,-276.7,1.9,-254.3,-0.73,1020.9,321.6,3,Over Current
274.41,-506.1,-1.44,-390.4,1.62,-110.9,-0.34,1019.7,320.8,3,Over Current
275.39,-429.6,-1.74,-489.5,1.34,63,0.16,1022.2,322.1,3,Over Current
276.37,-323.5,-1.9,-550.3,0.99,227.8,0.7,1020.9,321.7,3,Over Current
277.34,-176.1,-1.88,-521.6,0.53,348.3,1.17,925.2,291.6,3,Over Current
278.32,-20,-1.5,-470.4,0.08,450.9,1.67,1020.9,321.1,3,Over Current
279.3,160,-1.15,-372.6,-0.44,538.3,1.82,1022.2,322.3,3,Over Current
280.27,299.1,-0.78,-239.7,-1,542.6,1.78,1017.1,320.2,3,Over Current
281.25,408.7,-0.38,-88.2,-1.57,498.3,1.47,1014.5,319.5,3,Over Current
282.23,500.9,0.14,91.2,-1.85,411.3,1.14,1017.1,319.9,3,Over Current
283.2,533.9,0.69,246.3,-1.94,292.6,0.81,1017.1,319.2,3,Over Current
284.18,516.1,1.28,369.2,-1.72,147,0.43,1019.7,321,3,Over Current
285.16,447.8,1.68,467.3,-1.39,-16.5,-0.06,1020.9,320.7,3,Over Current
286.13,349.6,1.88,542.9,-1.07,-187.8,-0.57,1018.4,320.1,3,Over Current
287.11,209.1,1.93,529.9,-0.6,-313.5,-1.04,1017.1,319.9,3,Over Current
288.09,62.6,1.56,489,-0.21,-423.9,-1.56,1017.1,319.7,3,Over Current
289.06,-120,1.24,394.4,0.32,-509.6,-1.79,1017.1,319.7,3,Over Current
290.04,-274.3,0.87,264.9,0.84,-534.8,-1.81,1017.1,319.7,3,Over Current
291.02,-387,0.45,119.4,1.44,-503,-1.52,1014.5,318.7,3,Over Current
